OTU ID	MRC1	MRC2	MRC3	MRC4	MRC5	MRC6	MRC7	MRC_neg	SVERC1	SVERC2	SVERC3	SVERC4	SVERC5	SVERC6	SVERC7	SVERC_neg
JQ793460.1.1521	124	135	175	267	174	118	94	0	56	4	4	26	20	3	13	0
HQ119899.1.1502	5	19	9	22	16	13	29	0	0	0	0	1	6	2	0	0
JN869202.1.1492	4	2	1	2	1	0	0	0	6	3	1	8	11	5	4	0
KY117513.1.1449	24	15	33	26	20	22	9	0	2	4	8	8	6	4	6	0
OTU_dn_2733	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0
OTU_dn_282	7	10	12	1	5	10	1	0	0	0	0	0	0	0	0	0
HE818664.1.1451	51	81	111	108	77	48	48	2	71	99	113	108	89	75	112	0
HQ119534.1.1459	13	13	19	42	11	38	35	0	0	0	0	0	0	0	0	0
OTU_dn_3430	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FPLS01028294.15.1485	15	10	18	19	32	22	24	1	3	5	3	0	0	6	3	0
EU669638.1.1488	9	9	8	0	3	10	9	0	0	0	0	0	0	0	0	0
FPLS01030586.17.1487	26	8	13	19	12	13	14	0	6	1	7	12	11	14	14	0
FPLS01017303.111.1632	75	4	17	15	14	10	0	0	6	2	0	0	1	5	0	0
AM747393.1.1494	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC011168.1.1525	6	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
EF174252.1.1456	5	6	6	1	4	0	0	0	0	0	0	0	0	0	0	0
MAMN01000047.249174.251307	33	2	4	1	1	1	0	0	0	6	9	35	0	5	4	0
EU335384.1.1519	2	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0
KY883357.1.1385	7	11	19	13	13	24	42	0	6	0	0	0	0	3	6	0
D86941.1.1465	28	47	35	22	25	28	5	0	6	5	18	4	3	6	10	0
OTU_dn_770	6	4	2	4	1	0	0	0	0	1	0	0	0	0	0	0
HQ456135.1.1500	48	14	46	71	82	62	36	0	43	81	137	99	153	75	190	0
EU134826.1.1365	22	40	35	19	15	27	19	2	104	49	60	72	102	49	63	0
HQ864072.1.1487	17	25	26	32	7	11	14	0	47	54	80	53	43	45	30	0
JN868882.1.1541	7	10	8	8	7	5	4	0	13	9	9	12	12	32	23	0
HQ190292.1.1525	11	18	22	20	24	20	25	0	9	4	5	0	4	3	1	0
EF018844.1.1345	13	16	17	11	4	28	28	0	0	0	0	0	0	0	0	0
