"M_056_a_AOB_S14_L001_trim_filt_F.fastq.gz"	"M_056_b_AOB_S62_L001_trim_filt_F.fastq.gz"	"M_056_c_AOB_S55_L001_trim_filt_F.fastq.gz"	"M_18_a_AOB_S58_L001_trim_filt_F.fastq.gz"	"M_18_b_AOB_S42_L001_trim_filt_F.fastq.gz"	"M_18_c_AOB_S47_L001_trim_filt_F.fastq.gz"	"M_25_a_AOB_S8_L001_trim_filt_F.fastq.gz"	"M_25_b_AOB_S24_L001_trim_filt_F.fastq.gz"	"M_25_c_AOB_S4_L001_trim_filt_F.fastq.gz"	"M_5_a_AOB_S52_L001_trim_filt_F.fastq.gz"	"M_5_b_AOB_S15_L001_trim_filt_F.fastq.gz"	"M_5_c_AOB_S10_L001_trim_filt_F.fastq.gz"	"M1_a_AOB_S34_L001_trim_filt_F.fastq.gz"	"M1_b_AOB_S5_L001_trim_filt_F.fastq.gz"	"M1_c_AOB_S17_L001_trim_filt_F.fastq.gz"	"M2_a_AOB_S46_L001_trim_filt_F.fastq.gz"	"M2_b_AOB_S68_L001_trim_filt_F.fastq.gz"	"M2_c_AOB_S32_L001_trim_filt_F.fastq.gz"	"Mmin_a_AOB_S11_L001_trim_filt_F.fastq.gz"	"Mmin_b_AOB_S39_L001_trim_filt_F.fastq.gz"	"Mmin_c_AOB_S1_L001_trim_filt_F.fastq.gz"	"S_056_a_AOB_S35_L001_trim_filt_F.fastq.gz"	"S_056_b_AOB_S20_L001_trim_filt_F.fastq.gz"	"S_056_c_AOB_S19_L001_trim_filt_F.fastq.gz"	"S_18_a_AOB_S3_L001_trim_filt_F.fastq.gz"	"S_18_b_AOB_S25_L001_trim_filt_F.fastq.gz"	"S_18_c_AOB_S69_L001_trim_filt_F.fastq.gz"	"S_25_a_AOB_S27_L001_trim_filt_F.fastq.gz"	"S_25_b_AOB_S80_L001_trim_filt_F.fastq.gz"	"S_25_c_AOB_S79_L001_trim_filt_F.fastq.gz"	"S_5_a_AOB_S22_L001_trim_filt_F.fastq.gz"	"S_5_b_AOB_S13_L001_trim_filt_F.fastq.gz"	"S_5_c_AOB_S56_L001_trim_filt_F.fastq.gz"	"S1_a_AOB_S67_L001_trim_filt_F.fastq.gz"	"S1_b_AOB_S45_L001_trim_filt_F.fastq.gz"	"S1_c_AOB_S78_L001_trim_filt_F.fastq.gz"	"S2_a_AOB_S48_L001_trim_filt_F.fastq.gz"	"S2_b_AOB_S44_L001_trim_filt_F.fastq.gz"	"S2_c_AOB_S30_L001_trim_filt_F.fastq.gz"	"Smin_a_AOB_S41_L001_trim_filt_F.fastq.gz"	"Smin_b_AOB_S21_L001_trim_filt_F.fastq.gz"	"Smin_c_AOB_S61_L001_trim_filt_F.fastq.gz"
"ASV346"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	140	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
"ASV347"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	219	0	0	0	0	0	0	0	81	0	0	0
"ASV348"	0	86	0	0	0	0	0	108	0	0	0	0	0	0	102	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV349"	0	0	0	0	0	0	0	109	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV350"	2	0	64	58	4	5	20	60	0	0	0	5	2	0	4	2	106	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	9	0	0	15	0	7	3
"ASV351"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	92	0	0	0	0	0	0	0	0	0	0	0	166	43	59	0	0	0	0	0
"ASV352"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV353"	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	7	0	50	0	16	0	0	76	0	0	0
"ASV354"	45	0	0	0	69	87	33	54	5	0	0	0	0	0	24	0	32	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV355"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
"ASV356"	0	0	0	149	0	0	0	0	188	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV357"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	65	0	91	77	0	0	0
"ASV358"	0	0	0	0	0	0	99	99	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	65	0	0	0	0	0	0
"ASV360"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	23	35	0	0	0	0	0	0	0	61	0	0	129	0	74	0	0	0
"ASV361"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	34	0	0	0	0	3	41	22	0	0	0
"ASV362"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	20	0	0	0	0	0	42	0	176	0	62	0	0	0	0
"ASV363"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	141	0	0	0	0	0	0	0	0	0	0	0
"ASV364"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	117	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	59	0	0
"ASV365"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV366"	127	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV367"	0	0	0	123	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	75	0	0	0	0	0	0	0
"ASV368"	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	81	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV369"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	34	0	0	0	0	0	0	140	0	54	0	0	20	0	0	46	0	0
"ASV370"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0
"ASV371"	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV372"	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV373"	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV374"	0	0	0	0	0	0	0	0	0	43	0	0	0	0	194	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV375"	0	0	0	0	140	0	0	0	0	0	0	0	0	0	90	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV376"	0	0	0	1	0	0	2	4	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	32	81	0	0	0	0	53	49	0	3	0	77	0	0	0	0	7	0	2
"ASV377"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0
"ASV378"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	108
"ASV379"	0	93	0	0	43	0	0	0	0	40	0	0	0	0	0	0	51	34	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
"ASV380"	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV381"	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV382"	36	0	0	112	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV383"	18	0	13	0	0	0	0	33	15	0	0	0	0	46	8	36	48	0	0	0	0	0	0	0	0	8	0	0	0	30	0	0	12	0	0	0	14	0	0	15	0	0
"ASV384"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	130	25	0	66
"ASV385"	0	0	0	0	0	0	0	0	0	0	0	0	124	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV386"	0	170	0	0	72	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV387"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	45	0	0	0	0	58	0	0	0	0	0	0	0	0	0	102	0	31	0
"ASV388"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
"ASV389"	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV390"	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	56	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV391"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285
"ASV392"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0
"ASV393"	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	50	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV394"	0	0	0	0	0	0	0	0	0	0	0	28	233	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV395"	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV396"	111	0	0	0	0	0	0	0	0	0	84	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV397"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV398"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	56	0	0	9	0	0	30	0	0	34	66	0	0
"ASV399"	75	130	0	0	0	3	2	0	0	0	1	2	6	0	0	5	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV400"	150	0	0	0	0	0	0	0	0	0	75	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV401"	0	0	4	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	141	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV402"	0	0	0	0	0	0	141	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV403"	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	26	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV404"	0	0	50	0	0	0	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	3	0
"ASV405"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV406"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	39	64	0	0	0	39	0	0	0	0	0	0	0	0	0	0
"ASV407"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	77	0	0	115	0	0	0	0	0	30	0	0
"ASV408"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	54	23	0	0	21	30	27	0	0	0	35	0	0	0	28	0	0	32	2
"ASV409"	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV410"	156	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV411"	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV412"	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV413"	32	0	47	0	0	0	23	21	0	0	0	0	0	20	0	34	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV414"	0	0	115	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV415"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV416"	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	128	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV417"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV418"	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV419"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0
"ASV420"	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV421"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	29	0	0	0	35	0	0	0	60	0	0	62
"ASV422"	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	106	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV423"	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV424"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	32	102	0
"ASV425"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
"ASV426"	14	9	0	0	11	0	8	0	47	0	14	0	20	6	57	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV427"	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV428"	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0
"ASV429"	0	0	0	0	0	0	70	0	0	0	0	0	1	0	0	1	0	0	0	70	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV430"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV431"	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV432"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV433"	35	0	0	0	102	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV434"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	48	0	105	0	0	0	0	0	0	0	0	65
"ASV436"	0	0	39	0	49	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV437"	0	0	67	0	0	0	0	0	0	0	0	0	0	0	75	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV438"	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV439"	0	66	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV440"	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV441"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0
"ASV442"	0	0	125	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV443"	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV444"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV445"	55	0	0	0	0	0	0	0	0	0	0	0	0	71	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV446"	0	72	0	0	0	0	0	0	0	131	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV447"	0	0	0	0	0	0	0	0	0	83	0	0	0	69	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV448"	0	0	0	0	68	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV449"	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	1	2	0	0	0	0	0	15	0	0	0	0	22	0	1	0	0	0	50	0	67	0	48	0	0	0	0
"ASV450"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	16	25	0	0	0	0	0	0	0	29	17	40	0	0	0	47	0
"ASV451"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
"ASV452"	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV453"	0	0	0	0	0	0	0	0	81	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV454"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209
"ASV455"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV456"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122
"ASV457"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	61	0	0	0	31	0	0	0	70	14	0	0
"ASV458"	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV459"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	144	0	0	0	0	0	0	0	0	0
"ASV460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	82	0	73	0	0	0	0	0	0	0	0	0	0	0
"ASV461"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	16	0	40	0	0	0	0	0	0	0	21	45	3	29	0	25	0
"ASV462"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	42	0	0	0	0
"ASV463"	0	0	0	80	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV464"	0	0	0	0	0	0	0	47	0	0	0	0	71	0	0	52	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV465"	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0
"ASV466"	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV467"	0	0	0	4	0	0	0	105	82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV468"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0
"ASV469"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV470"	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV471"	0	111	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV472"	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV473"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
"ASV474"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV475"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	22	0	0	0	16	0	23	0	8	0	8	8	36	0	45	0
"ASV476"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV477"	0	0	0	0	26	0	0	0	45	0	0	0	0	33	0	49	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV478"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0
"ASV479"	0	0	0	0	0	0	94	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV480"	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV481"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	24	67	0	45	0	0	0	0	0	0	0	0
"ASV482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	108	0	0	0	0	0	0	0	0	64	0
"ASV483"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
