"M_056_a_AOB_S14_L001_trim_filt_F.fastq.gz"	"M_056_b_AOB_S62_L001_trim_filt_F.fastq.gz"	"M_056_c_AOB_S55_L001_trim_filt_F.fastq.gz"	"M_18_a_AOB_S58_L001_trim_filt_F.fastq.gz"	"M_18_b_AOB_S42_L001_trim_filt_F.fastq.gz"	"M_18_c_AOB_S47_L001_trim_filt_F.fastq.gz"	"M_25_a_AOB_S8_L001_trim_filt_F.fastq.gz"	"M_25_b_AOB_S24_L001_trim_filt_F.fastq.gz"	"M_25_c_AOB_S4_L001_trim_filt_F.fastq.gz"	"M_5_a_AOB_S52_L001_trim_filt_F.fastq.gz"	"M_5_b_AOB_S15_L001_trim_filt_F.fastq.gz"	"M_5_c_AOB_S10_L001_trim_filt_F.fastq.gz"	"M1_a_AOB_S34_L001_trim_filt_F.fastq.gz"	"M1_b_AOB_S5_L001_trim_filt_F.fastq.gz"	"M1_c_AOB_S17_L001_trim_filt_F.fastq.gz"	"M2_a_AOB_S46_L001_trim_filt_F.fastq.gz"	"M2_b_AOB_S68_L001_trim_filt_F.fastq.gz"	"M2_c_AOB_S32_L001_trim_filt_F.fastq.gz"	"Mmin_a_AOB_S11_L001_trim_filt_F.fastq.gz"	"Mmin_b_AOB_S39_L001_trim_filt_F.fastq.gz"	"Mmin_c_AOB_S1_L001_trim_filt_F.fastq.gz"	"S_056_a_AOB_S35_L001_trim_filt_F.fastq.gz"	"S_056_b_AOB_S20_L001_trim_filt_F.fastq.gz"	"S_056_c_AOB_S19_L001_trim_filt_F.fastq.gz"	"S_18_a_AOB_S3_L001_trim_filt_F.fastq.gz"	"S_18_b_AOB_S25_L001_trim_filt_F.fastq.gz"	"S_18_c_AOB_S69_L001_trim_filt_F.fastq.gz"	"S_25_a_AOB_S27_L001_trim_filt_F.fastq.gz"	"S_25_b_AOB_S80_L001_trim_filt_F.fastq.gz"	"S_25_c_AOB_S79_L001_trim_filt_F.fastq.gz"	"S_5_a_AOB_S22_L001_trim_filt_F.fastq.gz"	"S_5_b_AOB_S13_L001_trim_filt_F.fastq.gz"	"S_5_c_AOB_S56_L001_trim_filt_F.fastq.gz"	"S1_a_AOB_S67_L001_trim_filt_F.fastq.gz"	"S1_b_AOB_S45_L001_trim_filt_F.fastq.gz"	"S1_c_AOB_S78_L001_trim_filt_F.fastq.gz"	"S2_a_AOB_S48_L001_trim_filt_F.fastq.gz"	"S2_b_AOB_S44_L001_trim_filt_F.fastq.gz"	"S2_c_AOB_S30_L001_trim_filt_F.fastq.gz"	"Smin_a_AOB_S41_L001_trim_filt_F.fastq.gz"	"Smin_b_AOB_S21_L001_trim_filt_F.fastq.gz"	"Smin_c_AOB_S61_L001_trim_filt_F.fastq.gz"
"ASV56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1061	433	314	755	459	537	273	423	246	535	1060	604	797	869	1066	468	200	391	333	390	471
"ASV57"	501	177	397	638	352	402	354	923	601	462	977	183	133	264	492	433	841	999	453	262	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV58"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	1908	306	398	172	417	359	192	0	615	310	349	467	239	0	1038	643	234	531	724	414
"ASV59"	662	478	47	131	355	113	1196	0	894	446	0	580	89	17	1314	737	0	1997	628	178	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
"ASV60"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	1308	387	1177	622	555	305	210	150	195	186	260	566	676	205	561	83	52	244	248	1016
"ASV61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	955	1965	94	281	0	322	208	269	564	802	103	1117	294	70	860	505	353	196	384	168
"ASV62"	645	521	394	343	329	303	182	365	1020	179	484	472	664	384	563	312	741	485	300	444	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV63"	1103	83	138	379	75	864	151	476	454	704	84	337	229	458	368	528	382	1785	302	492	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV64"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	509	539	149	633	322	301	178	457	328	300	341	481	1034	383	80	289	480	381	876	788
"ASV65"	0	878	0	274	339	99	4	0	529	150	12	388	2	197	441	374	270	711	0	0	51	182	176	213	149	225	273	261	33	70	310	84	88	419	332	274	213	262	455	248	232	0
"ASV66"	161	0	500	29	118	283	0	238	139	79	1348	85	230	44	0	0	404	215	118	297	0	251	209	110	4	68	761	0	87	0	29	53	492	1104	105	50	807	117	553	27	0	0
"ASV67"	344	0	334	0	495	413	83	0	104	261	264	0	775	520	847	1245	655	399	433	244	339	54	0	0	0	0	0	41	0	0	0	84	0	132	0	65	0	132	93	48	0	163
"ASV68"	153	108	111	62	399	207	0	125	129	227	196	112	196	88	470	219	500	90	73	155	1	193	156	272	210	197	69	159	60	161	105	169	135	394	382	529	241	639	178	68	271	0
"ASV69"	256	0	0	103	0	0	0	0	0	43	0	0	0	0	0	111	0	0	0	84	0	261	249	421	249	227	214	217	252	1394	390	420	294	699	167	226	90	0	76	298	354	868
